27,0,142,34,131,70,17,35,A
744,96,852,44,872,88,764,139,A
224,267,282,266,282,283,224,284,A
87,309,170,294,176,324,92,339,A
279,201,333,199,333,216,279,218,A
265,266,317,264,318,279,266,281,A
282,223,332,222,333,239,282,240,A
266,308,315,307,315,322,266,324,A
223,244,270,242,271,259,224,261,A
211,312,264,310,265,328,211,329,A
278,283,319,281,320,297,279,299,A
229,227,277,226,277,243,229,244,A
926,178,963,174,966,198,928,202,A
303,181,337,182,337,199,303,199,A
252,184,304,184,305,200,252,201,A
216,187,258,186,258,202,217,203,A
272,242,340,238,341,255,273,259,A
227,286,275,285,275,300,227,301,A
222,205,258,203,259,217,223,220,A
98,271,134,270,135,289,98,290,A
